10 15894 495 12802 7867 6874 5991 13923 3332 10272 5325
10 12896 13999 15458 1844 15526 16745 16022 6457 15382 8990
10 6331 7748 1329 4458 4671 6385 4792 3009 7872 1767
10 2991 706 892 5056 4973 721 2588 755 776 756
10 5439 4034 9046 4035 5758 13250 2678 11877 761 7798
10 691 1964 661 7168 648 8034 4075 899 6037 7342
10 10223 7492 7499 6247 8644 6723 3579 3292 3917 7495
10 13587 12899 5384 1545 11105 2526 11321 9422 8898 11546
10 6978 4832 861 9604 4903 5138 11828 6783 6956 8587
10 7518 8703 13415 8286 8223 2439 4899 2000 2476 830
10 11027 6355 3468 10712 1128 3569 3672 4775 11028 1423
10 6431 2742 11175 7318 11135 4605 12352 5005 2829 2445
10 6164 4211 11246 11567 14254 11504 8711 10987 6782 8934
10 8071 5040 966 7229 7000 3877 2878 6037 2589 2902
10 9533 4420 12571 13447 7453 12681 10737 7029 4079 2533
10 823 15708 11640 6359 16098 16319 15113 12826 4179 16045
10 1181 3012 4283 2794 2637 2635 5603 1180 8020 13086
10 2720 3481 3821 6572 3591 2821 5701 2719 7313 4139
10 6863 5836 9700 3614 3064 5994 4235 4797 2464 4629
10 13942 14176 14018 10605 13874 11211 12462 11158 14168 11584
10 1534 1114 1194 2416 1197 5891 5659 3213 5885 7072
10 1671 1677 1602 5883 3213 5887 1534 20 3364 5890
10 8016 2787 3226 814 7437 910 1707 6919 3638 1364
10 14201 15357 1937 5344 15354 9625 14640 1737 5716 10714
10 10966 2533 10546 11885 15200 14790 10919 13883 7004 15676
10 5550 1141 4958 826 1713 7555 1832 4881 5895 1720
10 11743 9842 5223 8901 3970 5977 4406 12825 13055 4018
10 380 6800 1084 3844 2822 6807 5941 3329 2597 10935
10 7827 5056 4343 3414 1345 7658 1213 226 1181 2216
10 1915 1974 1104 6927 7519 9162 1917 3666 2609 12520
10 1550 4759 6289 10494 9882 3170 1704 3529 107 4757
10 4211 14105 3100 14379 13898 618 12878 6177 752 8836
10 12255 7545 9966 4988 9164 10304 9893 10605 5774 10388
10 16493 12043 15908 14684 14276 13410 16192 16609 15858 8982
10 2236 4641 13182 14345 15194 7382 561 14823 922 2221
10 10857 9155 939 6739 1922 5265 8164 6917 4873 917
10 9688 1130 2269 9580 10910 11977 3230 12293 11236 6413
10 5168 1820 6351 3973 135 2691 9293 6326 3293 4755
10 13258 14574 6325 13279 2712 13534 15759 16166 14629 14687
10 5622 5627 5621 5631 5624 5632 5618 5623 5619 5070
10 9025 2653 3091 8462 2419 2389 442 822 8733 2441
10 1449 11966 1980 9342 1382 6430 7208 4764 6319 7515
10 4256 12235 4789 1933 3158 8519 4257 1041 10812 12132
10 7177 2009 7552 1034 9753 3446 3187 1865 8569 7308
10 1200 3422 4854 10583 2206 2038 8050 7154 226 3912
10 3141 229 619 12410 1885 3444 245 2384 3758 3528
10 16723 15585 16466 8755 14276 15590 13410 16064 15907 14443
10 1616 8336 1023 1582 7596 2023 4869 11075 10376 10776
10 3441 10814 2944 8590 9695 7954 17 4651 3413 10815
10 1313 6592 1613 7423 6071 1615 1336 5497 5255 2628
10 5793 3456 3475 1665 1009 9998 944 9392 5900 1122
10 7130 17 11203 9369 2379 14959 8232 10745 9361 11205
10 2874 4212 2901 6797 4593 3045 226 4638 3260 4912
10 13062 11082 2710 11682 205 2657 11571 6303 11776 5787
10 6360 260 352 3273 4143 4338 6115 5064 3312 2511
